Metro,State,Date,Rent,YearMonth
United States,,2015-01-31,1204.9640639303975,2015-01
"New York, NY",NY,2015-01-31,2274.903987823711,2015-01
"Los Angeles, CA",CA,2015-01-31,1807.141279802824,2015-01
"Chicago, IL",IL,2015-01-31,1429.0497345248618,2015-01
"Dallas, TX",TX,2015-01-31,1109.39948472917,2015-01
"Houston, TX",TX,2015-01-31,1214.8419061550521,2015-01
"Washington, DC",VA,2015-01-31,1698.6914290965121,2015-01
"Philadelphia, PA",PA,2015-01-31,1237.9557493847315,2015-01
"Miami, FL",FL,2015-01-31,1481.785647299601,2015-01
"Atlanta, GA",GA,2015-01-31,1032.0090840736907,2015-01
"Boston, MA",MA,2015-01-31,2054.964068018167,2015-01
"Phoenix, AZ",AZ,2015-01-31,946.364431230859,2015-01
"San Francisco, CA",CA,2015-01-31,2252.389582718387,2015-01
"Riverside, CA",CA,2015-01-31,1333.4861628952349,2015-01
"Detroit, MI",MI,2015-01-31,858.9046411267485,2015-01
"Seattle, WA",WA,2015-01-31,1368.8754730852859,2015-01
"Minneapolis, MN",MN,2015-01-31,1130.145134101483,2015-01
"San Diego, CA",CA,2015-01-31,1693.2953639536481,2015-01
"Tampa, FL",FL,2015-01-31,1076.6710263954742,2015-01
"Denver, CO",CO,2015-01-31,1255.5506594943342,2015-01
"Baltimore, MD",MD,2015-01-31,1306.2665646033072,2015-01
"St. Louis, MO",MO,2015-01-31,877.5780681408856,2015-01
"Orlando, FL",FL,2015-01-31,1134.0155280485217,2015-01
"Charlotte, NC",NC,2015-01-31,1022.3509296832127,2015-01
"San Antonio, TX",TX,2015-01-31,1025.2356764544143,2015-01
"Portland, OR",OR,2015-01-31,1136.9320031752961,2015-01
"Sacramento, CA",CA,2015-01-31,1261.5196244077106,2015-01
"Pittsburgh, PA",PA,2015-01-31,978.9638047430002,2015-01
"Cincinnati, OH",OH,2015-01-31,883.3101787101974,2015-01
"Austin, TX",TX,2015-01-31,1192.450013111299,2015-01
"Las Vegas, NV",NV,2015-01-31,987.7111677033785,2015-01
"Kansas City, MO",MO,2015-01-31,894.9701537305659,2015-01
"Columbus, OH",OH,2015-01-31,886.7152243385243,2015-01
"Indianapolis, IN",IN,2015-01-31,923.6930916165687,2015-01
"Cleveland, OH",OH,2015-01-31,848.9559114574678,2015-01
"San Jose, CA",CA,2015-01-31,2470.8062250088465,2015-01
"Nashville, TN",TN,2015-01-31,1155.2147537132946,2015-01
"Virginia Beach, VA",VA,2015-01-31,1092.5594517818572,2015-01
"Providence, RI",RI,2015-01-31,1084.5856593037017,2015-01
"Jacksonville, FL",FL,2015-01-31,1016.0391781067453,2015-01
"Milwaukee, WI",WI,2015-01-31,969.8728969875937,2015-01
"Oklahoma City, OK",OK,2015-01-31,927.8985903116948,2015-01
"Raleigh, NC",NC,2015-01-31,1093.1229369862856,2015-01
"Memphis, TN",TN,2015-01-31,887.6111699682955,2015-01
"Richmond, VA",VA,2015-01-31,980.8265327009317,2015-01
"Louisville, KY",KY,2015-01-31,840.408416381145,2015-01
"New Orleans, LA",LA,2015-01-31,1123.757156045194,2015-01
"Salt Lake City, UT",UT,2015-01-31,982.1383971856219,2015-01
"Hartford, CT",CT,2015-01-31,1127.1847019149727,2015-01
"Buffalo, NY",NY,2015-01-31,780.8292848579213,2015-01
"Birmingham, AL",AL,2015-01-31,914.3304065741223,2015-01
"Rochester, NY",NY,2015-01-31,908.1650925779553,2015-01
"Grand Rapids, MI",MI,2015-01-31,848.8130271901971,2015-01
"Tucson, AZ",AZ,2015-01-31,864.6210234820926,2015-01
"Urban Honolulu, HI",HI,2015-01-31,2008.496829014252,2015-01
"Tulsa, OK",OK,2015-01-31,885.7216514269406,2015-01
"Fresno, CA",CA,2015-01-31,1019.8563492269769,2015-01
"Worcester, MA",MA,2015-01-31,1078.1346386248904,2015-01
"Omaha, NE",NE,2015-01-31,848.6759844373835,2015-01
"Bridgeport, CT",CT,2015-01-31,1692.1033932814069,2015-01
"Greenville, SC",SC,2015-01-31,886.9498978656453,2015-01
"Albuquerque, NM",NM,2015-01-31,930.1482567231877,2015-01
"Bakersfield, CA",CA,2015-01-31,995.8434277606402,2015-01
"Albany, NY",NY,2015-01-31,1034.8333965874915,2015-01
"Knoxville, TN",TN,2015-01-31,894.5606418755367,2015-01
"Baton Rouge, LA",LA,2015-01-31,1044.862213098791,2015-01
